"","NGA.y","Date.From","Articles","Calendar","Degree of centralization","Duration","Formal legal code","Full-time bureaucrats","History","irrigation systems","markets","Mnemonic devices","Peak Date","Polity territory","Population of the largest settlement","Postal stations","Practical literature","Professional priesthood","Professional soldiers","Religious levels","Roads","Sacred Texts","Script","Settlement hierarchy","Specialized government buildings","Tokens","Written records"
"350","Susiana",-1900,"inferred present","inferred present","quasi-polity","1900-1701 BCE","present","inferred present",NA,"present","present","inferred present","1900-1800 BCE",NA,"6500",NA,"inferred present","inferred present","suspected unknown","2","present",NA,"present","3","inferred present",NA,"present"
"351","Susiana",-4300,"inferred present","absent","quasi-polity","4300-3800 BCE","inferred absent","suspected unknown","absent","inferred present",NA,NA,NA,"1","350","suspected unknown","absent","inferred present","inferred absent","1","inferred absent","absent","absent","2","suspected unknown",NA,"absent"
"352","Susiana",-3800,"inferred present","inferred present","unitary state","3800-3100 BCE",NA,"inferred present",NA,"present","suspected unknown","inferred present",NA,NA,"250","inferred present","present","inferred present","present","2","inferred present",NA,"present","4","suspected unknown",NA,"present"
"353","Susiana",-3100,"inferred present","inferred present","unitary state","3100-2675 BCE",NA,"inferred present",NA,"present","suspected unknown","inferred present",NA,NA,"2500",NA,"inferred present","suspected unknown","present","2","inferred present",NA,"present","2","inferred present",NA,"present"
"354","Susiana",750,"present","present","unitary state","750-946 CE","present","present","present","present","present","present","809 CE","8300000","900000","present","present","absent","present","2","present","present","present","6","present","suspected unknown","present"
"355","Susiana",1191,"present","present","unitary state","1191-1258 CE","present","suspected unknown","present","inferred present","suspected unknown","suspected unknown","1226 CE","750000","1000000","suspected unknown","present","absent","present","2","present","present","present","4","present","suspected unknown","present"
"356","Susiana",-2250,"present","present","unitary state","2270-2083 BCE","inferred present","present","present","present","inferred present","present","2190-2154 BCE","450000","20000","inferred present","present","present","present","4","present","present","present","4","absent",NA,"present"
"357","Susiana",-539,"present","present","unitary state","550-331 BCE","present","present","present","present","inferred present","inferred present","500 BCE","4800000","200000","present","inferred present","inferred present","present","3","present","inferred present","present","5","present","suspected unknown","present"
"358","Susiana",-7000,"present","absent","quasi-polity","7000-6000 BCE","inferred absent","inferred absent","absent","inferred absent","inferred absent",NA,NA,NA,"175",NA,"absent","inferred absent","inferred absent","1","inferred absent","absent","absent","1","inferred absent",NA,"absent"
"359","Susiana",947,"present","present","confederated state","932-1062 CE","present","inferred present","present","present","present","suspected unknown","983 CE","900000","500000","present","suspected unknown","suspected unknown","present","3","present","inferred present","present","4","suspected unknown","suspected unknown","present"
"360","Susiana",1263,"present","present","unitary state","1256-1339 CE","present","present","present","present","present","suspected unknown","1316 CE","3800000","100000","present","present","present","present","3","present","present","present","4","present","suspected unknown","present"
"361","Susiana",-143,"present","present","confederated state","247 BCE - 40 CE","suspected unknown","present","present","present","present","suspected unknown","120 BCE","3000000","400000","present","present","present","present","3","present","present","present","4","present","suspected unknown","present"
"362","Susiana",1505,"present","present","unitary state","1501-1722 CE","present","present","present","inferred present","present","suspected unknown","1629 CE","2700000","200000","absent","present","present","present","5","present","present","present","4","present","suspected unknown","present"
"363","Susiana",499,"present","inferred present","unitary state","488-642 CE","present","present","present","present","inferred present","suspected unknown","570 CE","3450000","500000","present","present","inferred present","present","4","suspected unknown","inferred present","present","6","inferred present",NA,"present"
"364","Susiana",-312,"present","present","unitary state","312-63 BCE","present","present","inferred present","present","present","suspected unknown","281 BCE","3600000","50000","present","suspected unknown","present","present","4","present","inferred present","present","6","present","suspected unknown","present"
"365","Susiana",1056,"present","present","confederated state","1037-1157 CE","present","present","present","present","present","suspected unknown","1092 CE","4000000","500000","inferred present","present","present","present","3","present","present","present","4","present","suspected unknown","present"
"366","Susiana",-1700,"present","inferred present","quasi-polity","1700-1500 BCE","inferred present","inferred present",NA,"inferred present","inferred present","inferred present",NA,NA,"6500",NA,"inferred present","inferred present","inferred present","2","inferred present",NA,"present","3","inferred present",NA,"present"
"367","Susiana",663,"present","present","unitary state","661-750 CE","present","present","present","present","present","present","724 CE","9000000","200000","present","present","present","present","2","present","present","present","6","present",NA,"present"
"368","Susiana",1471,"suspected unknown","present","loose","1339-1501 CE","inferred present","inferred present","inferred present","suspected unknown","present","suspected unknown","1453-1478 CE","1800000",NA,"inferred present","inferred present","suspected unknown","present","1","inferred present","present","present","3","present","suspected unknown","present"
"369","Susiana",-7200,"suspected unknown","absent","quasi-polity","7200-7000 BCE","inferred absent","inferred absent","absent","inferred absent","suspected unknown",NA,NA,NA,"250","inferred absent","absent","absent","suspected unknown","0","inferred absent","absent","absent","1","inferred absent",NA,"absent"
"370","Susiana",-6000,"suspected unknown","absent",NA,"6000-5700 BCE","inferred absent","inferred absent","absent","present",NA,NA,NA,NA,"175",NA,"absent","inferred absent","inferred absent","1",NA,"absent","absent","1","inferred absent",NA,"absent"
"371","Susiana",-7800,"suspected unknown","absent","quasi-polity","7800-7200 BCE","inferred absent","inferred absent","absent","inferred absent","suspected unknown","suspected unknown",NA,NA,"250","inferred absent","absent","absent","inferred absent","0","inferred absent","absent","absent","1","inferred absent",NA,"absent"
"372","Susiana",220,"suspected unknown","suspected unknown","unitary state","205-487 CE","present","present","present","present","inferred present","suspected unknown","309-379 CE","3100000","250000","present","inferred present","present","absent","4","present","suspected unknown","inferred present","5","inferred present","suspected unknown","inferred present"
"373","Susiana",1394,"suspected unknown","present","unitary state","1370-1526 CE","suspected unknown","present","present","present","present","suspected unknown","1449 CE","5500000","150000","present","present","present","present","1","present","present","present","6","present","suspected unknown","present"
"374","Susiana",1794,NA,"inferred present","unitary state","1794-1925 CE","present","present","present",NA,"present",NA,"1900 CE","2000000","70000","suspected unknown","present","present","present",NA,"present","present","present","5","present",NA,"inferred present"
"375","Susiana",-2028,NA,"inferred present","confederated state","2028-1940 BCE",NA,"inferred present","suspected unknown","present",NA,"inferred present",NA,NA,"6500",NA,"inferred present","inferred present",NA,"2",NA,NA,"present","3","inferred present",NA,"present"
"376","Susiana",-2112,NA,"present","unitary state","2112-2004 BCE","present","present","present","present",NA,NA,"2097-2038 BCE",NA,"200000","present","present",NA,"present","4","present",NA,"present","4","present",NA,"present"
"377","Upper Egypt",-4400,"inferred present","inferred absent","suspected unknown","4400-3800 BCE","inferred absent","inferred absent","inferred absent","inferred absent","inferred absent","inferred absent","4400-4000 BCE",NA,"25","inferred absent","inferred absent","inferred absent","inferred absent","1","inferred absent","inferred absent","inferred absent","1","inferred absent",NA,"inferred absent"
"378","Upper Egypt",-31,"inferred present","present","unitary state","31 BCE - 284 CE","present","present","present","present","present",NA,"117 CE","5800000","900000","present","present","present","present","4","present","present","present","7","present","present","present"
"379","Upper Egypt",1171,"present","present","unitary state","1171-1250 CE","present","present","present","present","present","present","1193 CE","1500000","200000","suspected unknown","present","present","present","4","present","present","present","5","inferred present","inferred present","present"
"380","Upper Egypt",-3100,"present","inferred present","unitary state","3100-2900 BCE","absent","present","inferred absent","present",NA,NA,NA,"50000","6000","inferred absent","inferred present","absent","inferred absent","3","present","inferred present","present","4","absent","present","present"
"381","Upper Egypt",-2900,"present","inferred present","unitary state","2900-2687 BCE","absent","present","inferred absent","present",NA,NA,NA,"300000","6000","inferred absent","present","inferred absent","inferred absent","3","present","inferred present","present","4","absent","suspected unknown","present"
"382","Upper Egypt",-404,"present","present","unitary state","404-342 BCE","inferred present","inferred present","present","inferred present","inferred present",NA,NA,"500000","50000","inferred present","inferred present","present","present","2","inferred present","inferred present","present","4","present","suspected unknown","present"
"383","Upper Egypt",1260,"present","present","unitary state","1260-1348 CE","present","present","present","present","present","present","1341 CE","2100000","200000","present","present","present","present","3","present","present","present","6","present","suspected unknown","present"
"384","Upper Egypt",1412,"present","present","unitary state","1412-1517 CE","present","present","present","inferred present","present","present","1495 CE","2100000","150000","present","present","present","present","3","present","present","present","6","present","suspected unknown","present"
"385","Upper Egypt",1348,"present","present","unitary state","1348-1412 CE","present","present","present","present","present","present","1348 CE","2100000","150000","present","present","present","present","3","present","present","present","6","present","suspected unknown","present"
"386","Upper Egypt",-2016,"present","present","unitary state","2016-1700 BCE","inferred present","present",NA,"present","present","suspected unknown","1850 BCE","450000","30000","absent","present","present","present","4","present","present","present","4","suspected unknown","suspected unknown","present"
"387","Upper Egypt",-3800,"present","inferred absent","suspected unknown","3800-3550 BCE","inferred absent","inferred absent","inferred absent","inferred present","inferred absent","suspected unknown",NA,"5000","50","inferred absent","inferred absent","inferred absent","inferred absent","1","inferred absent","inferred absent","inferred absent","2","inferred absent","present","inferred absent"
"388","Upper Egypt",-3550,"present","inferred absent","unknown","3550-3300 BCE","inferred absent","present","inferred absent","suspected unknown","inferred absent","suspected unknown",NA,"5000","5000","inferred absent","inferred absent","inferred absent","inferred absent","suspected unknown","inferred absent","inferred absent","inferred present","2","present","present","absent"
"389","Upper Egypt",-3300,"present","suspected unknown","quasi-polity","3300-3100 BCE","inferred absent","inferred present","suspected unknown","inferred present","inferred present","suspected unknown","3300-3200 BCE","5000","5000","inferred absent","suspected unknown","absent","absent","2","inferred absent","suspected unknown","present","2","present","present","present"
"390","Upper Egypt",-1293,"present","present","unitary state","1293-1070 BCE","inferred present","present","absent","present","present","present","1250 BCE","746000","250000","suspected unknown","present","present","present","5","present","present","present","4","present","suspected unknown","present"
"391","Upper Egypt",-1550,"present","present","unitary state","1550-1293 BCE","inferred present","present","present","present","present","suspected unknown","1300 BCE","900000","30000","inferred absent","present","present","present","5","present","present","present","5","present","suspected unknown","present"
"392","Upper Egypt",-2650,"present","present","unitary state","2650-2350 BCE","inferred absent","present","inferred present","inferred present","present","suspected unknown","2400 BCE","75000","50000","inferred absent","present","absent","suspected unknown","6","present","inferred present","present","4","inferred present","suspected unknown","present"
"393","Upper Egypt",-2350,"present","present","unitary state","2350-2150 BCE","inferred absent","present","present","inferred present","present",NA,"2300 BCE","75000","30000","inferred absent","present","absent","suspected unknown","6","present","present","present","4","inferred present","present","present"
"394","Upper Egypt",-305,"present","present","unitary state","305-217 BCE","present","present","inferred present","present","present","present","300 BCE","1000000","160000","present","inferred present","present","present","1","present","inferred present","present","6","present","present","present"
"395","Upper Egypt",-217,"present","present","unitary state","217-30 BCE","present","present","inferred present","present","present","present",NA,"833000","500000","present","inferred present","present","present","1","present","inferred present","present","6","present","present","present"
"396","Upper Egypt",-2150,"present","inferred present","unitary state","2150-2016 BCE","inferred present","inferred present","inferred present","inferred present","inferred absent","suspected unknown","2063 BCE","20000","30000","inferred absent","inferred present","inferred present","present","2","inferred present","inferred present","present","4","inferred present","suspected unknown","present"
"397","Upper Egypt",-655,"present","present","unitary state","664-525 BCE","present","present","inferred present","present","present",NA,"550 BCE","300000","25000","suspected unknown","present","present","present","3","inferred present","inferred present","present","4","inferred present","suspected unknown","present"
